registro,padre_irr,madre_irr,abuelo_paterno_irr,abuela_paterna_irr,abuelo_materno_irr,abuela_materna_irr,nombre,criadero
100785,0.469246887711081,,,,0.3930728460495502,,ZAPATERO,PEÃAS BLANCAS
100818,0.4934555764792179,,,,0.71571639872515,,ORGULLOSO,CONQUIL
100824,0.15275842729522113,,,,0.32594806338441284,,O QUE BUENO,CONQUIL
100830,8.394491435708517,,1.457409602189585,,3.681106299882517,,PLEBISCITO,BUEN PRINCIPIO
100841,0.1052631578947368,,,,,,FARRUTO,ON PIPE
100871,0.8336950021399583,,1.819722382880278,,0.5033690784337893,,TAQUITO,SAN ALBERTO
100879,0.56985536231324,,,,0.4070627388142487,,CURACO,VOIPIR
100890,1.4456971351621393,,0.22770039853732685,,0.3017995809195118,,ESQUILAZO,EL IDEAL
100898,0.4434857635893011,,,,,,ENGAÃADOR,EL IDEAL
100912,0.13023242044166652,,0.0590718599778133,,0.20854769746330992,,CARAJILLO,EL IDEAL
100924,0.08341907898532397,,0.28088004873805517,,,,CONDENADO,LOS PELEROS
100933,0.1181437199556267,,,,0.08852288094900446,,ROTEQUE,EL IDEAL
100938,0.0526315789473684,,,,,,SENTENCIADO,LOS PELEROS
100940,0.1503451251078516,,,,0.0526315789473684,,LICAN,PEQUECO
100947,0.21386179821330956,,0.12512861847798595,,2.870413915296757,,PILCHERO,LOS MAITENES
100972,0.9840163595802691,,0.0526315789473684,,0.802138543079009,,MUJERIEGO,TREHUACO
100979,2.051287261981373,,,,0.1052631578947368,,DON PIO,AUSTRAL
100989,0.13023242044166652,,,,0.3222297547146555,,CUCURUCHO II,COLPI
101033,0.08852288094900446,,,,,,FIESTERO,PANCHITA
101037,0.0526315789473684,,,,,,HUINGAN,EL OTOÃO
101048,0.08852288094900446,,,,,,LICENCIADO,CORRENTOSO
101055,0.28293856049169236,,0.8966594508946624,,0.14464439787994574,,COMO QUERAI,MALLACAN
101062,0.0526315789473684,,,,,,CHILCALITO,SANTA ANGELA
101064,0.0526315789473684,,,,,,MACUCO,SANTA MACARENA DE RENGO
101067,0.6523069970006984,,,,,,BASURERO,SANTILLANA
101092,0.2169665968199186,,,,,,EL COSTALAZO,RIBERAS DEL MAPOCHO
101135,0.14464439787994574,,,,0.4714655491186983,,CUATRERO,PEUMOLOLEN
101149,1.1315264418773592,,1.607165475787156,,1.76009840776929,,RIO RAHUE,SANTA ISABEL
101168,0.2234068778503636,,,,,,AZUFRE,CASAS DE MEDAHUE
101174,0.18214956386168954,,,,0.1403508771929824,,DOCTOR,PUERTA ABIERTA
101178,0.09362668291268494,,,,1.3353796343595756,,HUINCANO,LA HUINCA
101194,0.0526315789473684,,,,,,TAJAMAR III,LO NEVADO
101214,1.6222547418289768,,,,0.49746658331468346,,MENSAJERO,LO GALLO
101220,0.0526315789473684,,,,,,REPOSO,LO GALLO
101227,0.1222067418361769,,,,0.0526315789473684,,TERRORISTA,PALMERIA ADENTRO
101228,0.4994453346480956,,,,,,CHAÃARCILLO,PALMERIA ADENTRO
101233,0.13023242044166652,,,,0.1181437199556267,,FAROLITO,LOS CARDOS
101249,0.291966776448634,,,,,,PICUCHO,ON MANUEL
101255,0.0526315789473684,,,,,,EMIGRANTE,CAPILLA SAN SEBASTIAN
101269,0.1052631578947368,,,,0.0526315789473684,,QUINCHERO,EL COLINANO
101297,0.1578947368421052,,,,,,REVOLTOSO,LOS TILOS
101309,0.1052631578947368,,,,,,FESTIN,MALAL POTRO
101313,0.1900961419943301,,,,0.0526315789473684,,FRASCO,MALAL POTRO
101316,0.8357241500377325,,,,,,FANTOCHE,MALAL POTRO
101324,0.0526315789473684,,,,,,FUSIL,MALAL POTRO
101329,0.2140480005634694,,0.41024692879740315,,0.3123819843033562,,FORAJIDO,MALAL POTRO
101337,0.4464159332560696,,0.1052631578947368,,,,FESTEJO,MALAL POTRO
101352,0.0526315789473684,,,,,,RELIGIOSO,EL POBRECITO
